캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
시온,Shion,04_data\images\character_art\icons\101020031_rank5_command.png,4~5★ SA,불,도,"Cat lover, Childhood Friend, Eastern, Itto-Ryu, Land of Mi, Mounted, Katana, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2019-01-28
수제트,Suzette,04_data\images\character_art\icons\101040031_rank5_command.png,4~5★ SA,바람,창,"Sweet tooth, Gourmet, Lost Laboratory, Lance, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000004 icon.png|216000002 icon.png,2019-01-28
투바,Toova,04_data\images\character_art\icons\101000051_rank5_command.png,4~5★ SA,땅,지팡이,"Funeral, Nicknamer, Spirit-fused, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2019-01-28
브리노,Breeno,04_data\images\character_art\icons\101010021_command.png,3~4★,땅,검,"Elf, Miglance Palace, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2019-01-28
큐카,Cyuca,04_data\images\character_art\icons\101030051_command.png,3~4★,바람,도끼,"Mask, Outlaw, Spicy Lover, Ax, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2019-01-28
다르니스,Darunis,04_data\images\character_art\icons\101050041_command.png,3~4★,바람,활,"Baruoki, Forager, Bow, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000005 icon.png|216000004 icon.png,2019-01-28
데니,Denny,04_data\images\character_art\icons\101030031_command.png,3~4★,물,도끼,"Scallywag, Ax, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2019-01-28
포란,Foran,04_data\images\character_art\icons\101040051_command.png,3~4★,물,창,"IDA School, Cat Hater, Lance, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2019-01-28
코마치,Komachi,04_data\images\character_art\icons\101040011_command.png,3~4★,땅,창,"Eastern, Land of Mi, Lance, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2019-01-28
쿨레르보,Krervo,04_data\images\character_art\icons\101000071_command.png,3~4★,,지팡이,"Glasses, Scientist, Forager, KMS, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
레레,Lele,04_data\images\character_art\icons\101000101_command.png,3~4★,물,지팡이,"Cat lover, Animal Talker, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2019-01-28
링리,Lingli,04_data\images\character_art\icons\101060021_command.png,3~4★,불,권갑,"Cooking, Eastern, Land of Shin, MMA, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2019-01-28
미란다,Miranda,04_data\images\character_art\icons\101030041_command.png,3~4★,불,도끼,"Scallywag, Spicy Lover, Ax, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000003 icon.png|216000003 icon.png,2019-01-28
뮤론,Myron,04_data\images\character_art\icons\101010061_command.png,3~4★,땅,검,"Clergy, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2019-01-28
니케,Nikeh,04_data\images\character_art\icons\101020021_command.png,3~4★,물,도,"Eastern, Outlaw, Katana, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000002 icon.png|216000004 icon.png,2019-01-28
노마르,Nomar,04_data\images\character_art\icons\101040041_command.png,3~4★,물,창,"Baruoki, Miner, Weapons, Lance, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2019-01-28
오토하,Otoha,04_data\images\character_art\icons\101020041_command.png,3~4★,땅,도,"Cat lover, Eastern, Land of Mi, Zoology, Katana, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000002 icon.png|216000004 icon.png,2019-01-28
파리사,Parisa,04_data\images\character_art\icons\101050031_command.png,3~4★,불,활,"Minstrel, Cursed, Bow, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2019-01-28
폼,Pom,04_data\images\character_art\icons\101000161_command.png,3~4★,,지팡이,"Scientist, Forager, Gun, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
레이븐,Raven,04_data\images\character_art\icons\101000021_command.png,3~4★,땅,지팡이,"Mask, Amnesia, Hood, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2019-01-28
로벨라,Rovella,04_data\images\character_art\icons\101050051_command.png,3~4★,물,활,"Lost Laboratory, Machinery, Military, Outlaw, Bow, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2019-01-28
루프스,Rufus,04_data\images\character_art\icons\101060051_command.png,3~4★,불,권갑,"Bookworm, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2019-01-28
소이라,Soira,04_data\images\character_art\icons\101040021_command.png,3~4★,바람,창,"Miglance Palace, Napper, Lance, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000004 icon.png|216000002 icon.png,2019-01-28
이오,Yio,04_data\images\character_art\icons\101030011_command.png,3~4★,땅,도끼,"Dragon Killer, Ax, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2019-01-28
에이시아,Asia,04_data\images\character_art\icons\101150011_command.png,3★,,활,"Mask, Estrangement, Bow",,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000005 icon.png|216000004 icon.png,2019-01-28
크토스,Ctos,04_data\images\character_art\icons\101170021_command.png,3★,,망치,"Fleareth, Hammer",,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000007 icon.png|216000002 icon.png,2019-01-28
인,Een,04_data\images\character_art\icons\101140031_command.png,3★,,창,"Machinery, Lance",,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000004 icon.png|216000002 icon.png,2019-01-28
에무스,Emms,04_data\images\character_art\icons\101160021_command.png,3★,,권갑,"Fleareth, Napper, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2019-01-28
에스타,Esta,04_data\images\character_art\icons\101130021_command.png,3★,,도끼,"Fleareth, Ax",,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000003 icon.png|216000003 icon.png,2019-01-28
킬퀴어,Kilqia,04_data\images\character_art\icons\101100011_command.png,3★,,지팡이,"Mask, Sharp Ears, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
쿠트,Koot,04_data\images\character_art\icons\101120031_command.png,3★,,도,"Machinery, Katana",,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000002 icon.png|216000004 icon.png,2019-01-28
메네시아,Menesia,04_data\images\character_art\icons\101120011_command.png,3★,,도,"Mask, Katana",,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000002 icon.png|216000004 icon.png,2019-01-28
나토레,Natore,04_data\images\character_art\icons\101110021_command.png,3★,,검,"Fleareth, Ninja, Sword",,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000001 icon.png|216000002 icon.png,2019-01-28
네일리아,Naylia,04_data\images\character_art\icons\101110011_command.png,3★,,검,"Mask, Sword",,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000001 icon.png|216000002 icon.png,2019-01-28
닉사,Nixa,04_data\images\character_art\icons\101150021_command.png,3★,,활,"Fleareth, Bow",,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000005 icon.png|216000004 icon.png,2019-01-28
누므,Noome,04_data\images\character_art\icons\101100031_command.png,3★,,지팡이,"Machinery, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
오르,Oor,04_data\images\character_art\icons\101130031_command.png,3★,,도끼,"Machinery, Ax",,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000003 icon.png|216000003 icon.png,2019-01-28
패시아,Pasia,04_data\images\character_art\icons\101170011_command.png,3★,,망치,"Cat lover, Mask, Animal Talker, Hammer",,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000007 icon.png|216000002 icon.png,2019-01-28
로디아,Rodeia,04_data\images\character_art\icons\101130011_command.png,3★,,도끼,"Mask, Sweet tooth, Ax",,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000003 icon.png|216000003 icon.png,2019-01-28
세스,Saithe,04_data\images\character_art\icons\101150031_command.png,3★,,활,"Machinery, Bow",,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000005 icon.png|216000004 icon.png,2019-01-28
사우리아,Sauria,04_data\images\character_art\icons\101140011_command.png,3★,,창,"Mask, Nicknamer, Lance",,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000004 icon.png|216000002 icon.png,2019-01-28
테임,Tayme,04_data\images\character_art\icons\101160031_command.png,3★,,권갑,"Machinery, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2019-01-28
톰,Tohme,04_data\images\character_art\icons\101120021_command.png,3★,,도,"Avenger, Fleareth, Katana",,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000002 icon.png|216000004 icon.png,2019-01-28
톨,Toole,04_data\images\character_art\icons\101170031_command.png,3★,,망치,"Machinery, Hammer",,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000007 icon.png|216000002 icon.png,2019-01-28
우라니아,Urania,04_data\images\character_art\icons\101160011_command.png,3★,,권갑,"Cooking, Mask, Fists",,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|202000006 icon.png|216000003 icon.png,2019-01-28
우오,Uuo,04_data\images\character_art\icons\101110031_command.png,3★,,검,"Machinery, Sword",,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000001 icon.png|216000002 icon.png,2019-01-28
이시스,Yssis,04_data\images\character_art\icons\101100021_command.png,3★,,지팡이,"Fleareth, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
